Cell lines	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	ZR751	ZR75B
U133A__PPFIA1	7.9599	7.1884	7.8838	7.0274	5.7449	8.3418	8.344	7.1162	7.0373	7.8089	7.7219	8.2808	5.7476	7.2867	7.3136	7.6061	7.4591	6.8513	7.8672	7.3332	10.3877	7.0079	8.1786	7.4321	8.5446	9.1744	6.9252	8.4555	8.2003	5.8705	7.8299	6.9337	6.6913	7.8003	8.544	8.682
U133A__CITED2	7.7415	6.6171	6.2217	8.6066	6.4765	8.129	5.4857	5.8681	6.4711	5.6471	7.2761	5.0942	5.6045	9.6672	5.0741	7.2485	5.5668	7.7101	6.7048	7.0532	7.0748	6.3869	7.4172	7.5293	6.8764	6.7352	6.9985	7.2716	7.6076	7.6179	4.1856	7.6259	7.8132	8.3585	8.0739	6.485
U133A__AMIGO2	6.5327	5.0478	8.1995	8.6579	5.9248	6.3495	4.6129	5.8787	3.9541	8.7387	4.9778	6.2682	4.6287	5.1466	5.4281	5.7522	5.0069	7.2447	4.8186	7.0588	6.0228	7.047	5.9365	8.2027	7.6933	4.0096	7.1669	6.5794	6.9238	8.94	8.9749	7.9447	5.8444	4.696	7.8914	6.3577
U133A__KRT81	11.7362	5.7523	6.3613	6.2318	6.465	9.5941	5.9887	6.4382	11.5769	5.8215	9.4778	12.3672	6.2151	9.0579	12.2114	8.9762	6.0823	6.4617	12.3512	6.732	5.9285	6.3727	12.6895	6.72	7.5076	11.152	5.9612	5.9101	9.7605	5.9877	12.3689	6.5077	6.5763	12.8064	6.1844	6.9041
U133A__MAFB	5.2209	6.0526	7.1675	4.5699	4.2814	4.4545	6.0147	5.8886	5.9523	4.6033	8.0513	5.6472	7.7452	5.899	5.4665	8.7595	6.8573	6.4104	4.5053	5.7821	6.9794	6.131	5.4416	4.4014	6.1242	5.0501	5.8863	8.6345	6.8824	4.4115	6.6507	4.4563	7.0732	7.4185	5.6559	6.4191
U133A__PPID	5.0949	4.7081	6.3369	6.4077	6.511	5.1869	5.9801	4.6728	6.5156	7.3894	7.1278	7.2762	4.8877	4.8359	4.6655	5.973	4.7282	5.6947	6.2058	5.1748	7.1153	5.4494	5.3947	6.7744	6.0593	5.3653	7.6312	5.694	5.3351	5.3484	6.8163	7.1574	5.5997	5.023	5.197	6.5643
U133A__C5orf13	5.1369	6.7214	7.2221	10.5831	6.6718	6.8127	10.1445	5.6449	7.1065	5.0964	5.3783	7.077	7.9666	6.914	5.561	7.2038	5.9763	8.7252	5.4808	5.8234	8.3707	9.2578	5.8943	5.5724	6.9229	7.5753	7.8776	8.2068	8.2004	7.1556	5.2497	9.5255	9.8606	5.4205	6.3202	6.9258
U133A__HLA-C	8.7854	10.5686	11.6679	10.3256	11.4052	11.0708	12.5864	10.813	11.4648	11.0759	11.8655	10.9118	10.8394	8.252	11.0232	11.783	12.3098	9.4587	7.7843	9.2536	10.7895	12.1352	10.024	8.9901	11.4528	11.0879	10.5338	10.2412	12.3605	10.2763	9.6461	9.7808	10.8914	10.2614	9.1612	9.2981
U133A__C10orf116	8.2899	9.178	8.9706	4.472	5.2574	10.0032	4.7791	9.3951	5.1718	8.9521	4.3801	5.2636	9.9213	9.8931	6.1048	6.8811	4.7923	4.7919	6.3825	5.6946	10.1961	4.8802	11.1909	5.2037	11.2659	10.0249	4.7346	6.4343	7.1824	5.2127	7.5886	5.4465	4.9414	10.4616	9.5303	10.8611
U133A__PDLIM1	8.4756	8.1491	8.0434	10.2395	9.2915	8.6414	8.1691	8.872	8.3891	10.8751	9.4136	9.0246	5.0072	10.4489	8.0425	7.2202	8.911	7.2089	7.1798	7.978	5.1613	8.0366	8.0859	8.5789	8.3603	8.9414	8.2225	5.3044	8.6498	7.6047	8.9463	8.3623	5.2351	6.0616	7.8274	8.0082
U133A__GSN	8.1061	10.15	8.785	7.3084	7.8941	10.9304	10.6582	9.1008	8.4068	6.8738	9.206	8.4359	8.8309	8.3216	10.0933	8.9772	9.9856	6.6957	6.9336	8.5384	9.311	5.7017	8.1205	6.2354	10.0492	9.4899	8.2464	6.2992	8.6325	9.4176	8.1646	6.513	9.9793	8.8637	7.6626	8.7535
U133A__HLA-F	7.1514	7.6905	9.2785	7.8591	9.4618	8.793	10.7475	8.2523	9.6511	8.8333	10.4241	8.8233	8.6658	6.5921	8.7351	9.7487	10.5898	8.0524	7.2474	7.8303	8.8431	10.4878	7.9252	7.8877	8.5341	8.7941	8.1935	7.2825	11.0349	8.7181	8.5194	9.0699	8.8619	8.1545	7.4898	7.3955
U133A__TUBA1A	3.5977	6.5989	10.3385	10.2225	9.5811	8.5618	10.0798	9.4561	5.0159	4.3512	4.8868	5.2328	4.1895	6.4301	9.4012	9.5816	8.0618	8.6164	6.7493	8.3105	10.9949	10.4097	5.2917	7.2901	8.6838	4.5294	8.9788	3.888	5.8356	9.6073	5.4475	7.4504	9.7967	4.9264	6.09	9.7726
U133A__OPTN	6.7093	5.5393	6.345	8.1659	7.1064	7.7235	9.3179	7.3846	7.9131	7.5348	7.1387	6.3321	6.0953	6.655	7.9647	8.647	8.9296	7.0793	4.8093	6.1075	7.0115	8.782	5.5732	6.5546	5.5827	6.3509	7.7492	5.1888	7.6344	8.6671	7.8784	6.3001	6.4963	5.9897	5.5903	6.235
U133A__ABLIM1	8.9014	5.137	7.0127	5.1287	5.039	6.9115	8.5793	7.4417	6.7201	8.0471	8.5764	7.3477	6.4693	7.2971	7.9321	6.4772	7.9876	4.3541	5.5293	5.161	7.1559	4.8561	7.9446	7.0666	7.5952	9.4549	6.7257	7.4208	7.5181	8.0406	6.8577	5.867	7.0137	8.6624	9.3072	8.0811
U133A__UBE2L6	6.0578	6.009	9.2064	6.4877	7.5001	6.5728	9.9793	8.4731	7.8909	9.2682	9.8403	7.5473	9.7988	5.2854	5.8958	8.4849	9.1647	7.392	6.342	6.1751	9.54	8.7362	6.4095	6.0392	6.8248	7.4593	7.0879	6.5761	9.903	6.3902	7.134	7.3836	7.5516	8.1028	5.9847	5.3484
U133A__LANCL1	7.9484	7.1973	8.0437	7.4032	6.0496	8.2676	7.471	7.7845	6.858	6.4065	7.4074	6.1261	6.0262	7.1325	6.5866	8.9228	7.4355	7.3639	6.9245	6.5193	7.6214	7.1381	6.6311	7.2862	7.7475	6.4586	5.7058	7.6675	6.9237	8.1542	7.0607	7.5143	6.6789	8.0595	8.0387	7.3553
U133A__VEGFC	4.8359	5.143	4.9123	6.447	6.9266	4.5639	4.5225	4.6426	4.6833	8.0047	4.7197	7.4878	5.1508	4.728	4.5083	4.5668	4.7086	7.9566	5.0759	4.9522	4.8807	6.9223	5.207	6.3583	5.5923	5.7777	7.4084	6.2535	4.386	9.0667	9.0267	6.5974	4.8815	4.5863	6.3003	5.0252
U133A__BMP7	7.1792	10.2899	5.9915	5.5804	5.7056	5.7479	5.7537	6.1111	6.2167	5.7013	7.6113	5.7656	5.9684	8.3614	7.0256	6.2535	5.3106	5.8496	8.2441	8.6872	5.7141	6.8215	5.6201	5.4503	5.7334	5.8301	6.2572	5.615	5.9788	6.0241	5.685	5.5064	5.6985	5.9278	5.5512	5.6131
U133A__FADD	7.2253	7.3694	7.9263	7.3736	6.8245	7.9796	8.0257	7.5068	7.4055	7.7871	7.4981	9.2216	6.8425	7.4372	7.3283	6.8438	7.0393	7.045	8.2105	7.9457	9.9878	7.5091	8.7146	8.1263	8.5757	10.0277	7.0371	8.4773	7.7937	6.7516	8.0897	7.4219	6.5889	6.8788	7.8862	9.1575
U133A__HTRA1	6.2736	6.5619	6.5603	6.4306	7.7376	6.5707	6.7075	5.904	6.5307	7.7992	8.3177	6.4915	6.4617	6.4236	6.16	6.9112	5.9653	8.1098	7.5058	6.8794	6.3703	9.3958	6.821	6.888	8.4262	6.0692	7.5822	6.4565	6.3736	11.4172	9.6218	7.5158	6.3811	8.5513	6.294	6.4095
U133A__PHGDH	7.1537	8.105	6.4854	8.4641	8.1949	7.2091	9.3914	8.3536	7.7658	8.2451	8.4218	7.6994	8.82	7.1137	7.4823	8.446	9.7916	7.6953	7.2645	6.7722	5.8624	7.797	6.6487	6.6278	8.0502	7.8655	8.8836	7.9675	9.2319	9.1647	8.0666	6.5386	9.6919	8.2777	7.2748	7.6427
U133A__SGCB	4.345	4.5248	5.746	7.8458	5.911	5.9386	7.1406	5.1858	7.0696	6.3675	4.4416	5.602	5.0206	3.9234	7.0299	6.7798	4.7882	7.8291	5.4336	5.8159	8.2976	8.6534	5.0713	7.4406	4.5614	4.3851	8.0454	4.0615	6.1206	6.9454	6.2714	7.184	4.3896	5.3401	4.3728	5.1227
U133A__NOTCH3	7.129	7.5035	7.1099	7.1373	4.8909	10.7188	9.2424	5.5662	5.4685	6.8588	8.3503	5.6305	8.0426	7.5159	7.5623	8.4363	11.0395	5.6526	7.3838	7.4329	6.5841	7.6575	8.0986	4.4309	6.816	5.169	7.5581	7.348	7.93	6.0529	6.7354	5.2383	8.0239	5.7466	6.4463	6.9082
U133A__CRYM	6.4583	7.5231	6.4006	6.448	6.5025	6.5711	5.9848	7.0052	6.0575	6.1414	6.1539	6.6828	7.7153	7.245	6.4	6.1823	5.9313	6.4998	6.2619	6.3051	6.5764	6.4642	7.5285	6.1593	7.7217	10.0657	6.278	6.3683	6.0706	6.5873	6.6463	6.4344	6.383	7.7307	9.6367	6.6343
