Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM44PE	SUM52PE	T47D	UACC812
U133A__SHANK2	7.3481	5.9045	4.943	7.6843	6.9359	3.9882	5.1612	3.8208	5.641	5.3585	5.1934	4.0531	4.7244	4.8992	5.345	4.6605	6.5754	4.4562	5.1162	6.8101	3.9503	5.5006	7.2976	3.8321	6.9453	4.2847	7.5141	6.359	4.7217	7.3884	5.3635	5.3379	3.9945	3.8673	4.0287	6.3054	7.4714	9.0073	6.2082	6.502	6.8877
U133A__RHOB	10.4942	9.873	6.3164	11.0388	10.4831	6.7962	11.0472	8.3443	6.5967	5.3472	11.2735	6.8223	5.304	6.3977	6.8571	10.6523	9.5881	6.7605	5.6554	4.5314	6.3916	9.9117	11.0411	7.4355	10.1894	6.7163	10.5222	9.9235	9.2453	10.7721	7.3136	10.9564	5.3243	5.6316	8.7454	9.5754	8.1457	11.7815	9.765	9.1037	9.9938
U133A__MKNK2	8.8547	9.1024	8.1041	9.4367	9.134	7.54	8.4693	8.4639	7.416	9.167	9.0655	7.1375	8.6892	8.2033	7.7142	8.8308	8.9706	7.5959	9.0658	8.9596	7.0119	7.6164	8.2146	7.3453	8.596	8.3944	8.5317	7.9915	7.5164	9.8256	7.9628	9.3436	6.5736	8.5994	8.4037	11.1721	8.9377	7.8753	8.8276	8.2748	9.5034
U133A__FXYD5	9.4366	8.8706	10.2383	6.3544	6.9093	10.5229	6.5905	8.4872	9.7949	7.3967	6.6968	9.5407	10.4388	9.0421	11.5641	7.4501	7.8566	10.3211	8.4657	10.2902	9.5227	6.8433	6.25	10.5826	6.4736	9.5884	6.6844	7.9084	8.5436	8.14	10.4145	8.7157	7.1906	10.2745	9.6556	8.4212	8.9687	6.6578	6.5669	8.3634	9.4597
U133A__DPYSL2	6.5499	4.3957	6.3934	5.6905	6.9064	9.755	6.403	6.8983	8.6685	6.876	6.4028	8.1874	7.4548	6.1458	4.9671	4.0143	5.8342	7.3601	7.5697	6.8732	9.3498	6.4398	8.4362	7.9753	6.9726	7.9353	6.4448	4.2048	7.8259	6.5866	8.8263	3.6449	9.0406	8.4346	8.7608	6.6997	7.2071	7.2414	7.204	5.519	7.3291
U133A__SH3BP5	4.5669	6.8751	7.6365	6.3726	7.6208	5.3896	6.2074	6.9909	5.7432	8.4108	7.7287	6.5201	5.893	6.0643	6.2105	6.1593	6.5372	4.3785	6.5156	7.5147	5.231	8.4431	6.9531	6.5498	6.6958	5.8189	7.3821	6.1776	6.072	6.3141	5.8103	6.571	7.6624	5.2193	4.8949	6.9699	5.8436	6.6186	6.8418	6.3893	7.6927
U133A__CLTA	8.5441	9.0829	9.4492	8.6889	9.0599	10.0873	9.5486	9.594	9.3638	9.2209	9.4214	9.6276	9.3187	9.6784	9.5067	9.1855	12.2679	9.8756	8.4701	10.062	9.7442	9.1292	9.8156	10.0738	9.7081	10.2228	10.4124	9.1562	10.0977	9.658	11.2641	9.2826	9.7985	8.6576	9.6315	10.4003	8.318	8.7093	8.7302	9.1874	8.7619
U133A__TBC1D9	6.3771	7.496	5.581	6.0691	9.2575	4.8144	7.0148	5.4363	4.3359	5.6622	8.2883	5.4965	3.5309	5.9846	5.0743	5.0615	7.5382	5.0659	6.6908	7.3101	6.1223	8.7386	8.2356	5.9894	7.447	6.3818	8.4877	7.2127	6.5487	5.1711	6.4193	6.5539	5.0828	4.6908	6.4141	8.6955	7.7167	7.8878	6.6034	5.0197	7.5227
U133A__DENND1B	6.3564	7.0433	6.0849	6.7197	7.3619	5.4436	5.5455	5.2652	6.0512	6.8209	6.9892	5.5922	7.1538	5.8176	6.1389	6.1945	7.6322	6.0845	6.1378	8.7131	4.9544	5.9119	5.8	5.6715	6.3586	6.0179	6.6521	6.3554	5.4668	9.1288	7.9616	6.1495	4.6695	5.3525	5.3775	7.1013	7.9586	7.4397	6.5288	4.5367	7.9641
U133A__CRIM1	6.6823	5.0556	7.7575	4.5538	5.2347	6.6582	3.5903	5.9807	7.9088	5.0214	5.8645	5.4013	6.6716	6.0828	6.2967	4.8205	6.6118	6.6738	6.5511	6.4677	7.6681	4.0619	4.8435	6.3739	5.1213	8.3257	4.25	5.0642	6.0909	4.1324	7.3998	4.8529	6.1856	4.9762	7.7736	5.3263	5.4297	5.9058	7.3237	6.0612	4.7611
U133A__KRT19	11.6554	11.9776	10.9191	11.935	12.491	3.995	11.6489	4.3819	10.8671	10.3292	12.2228	3.8177	10.8381	4.5913	4.6342	12.1027	12.4618	11.0216	10.3341	11.7799	3.831	11.6347	12.2467	4.0939	12.0447	7.2772	11.6624	11.784	2.7874	10.9377	11.6762	12.0028	3.9802	10.1275	3.2941	11.8623	11.6439	11.3416	11.4468	12.1604	12.1037
U133A__CRABP2	7.7927	6.2883	7.6984	7.1272	11.2478	7.1984	9.2384	7.2001	10.2575	11.042	10.4868	7.9145	5.679	11.2348	9.6855	11.4223	10.9394	9.1947	9.329	11.2675	6.4565	10.0104	10.3883	6.0832	10.5335	6.5894	7.7354	10.3027	6.352	10.8015	10.3695	9.5601	7.2299	6.7276	6.367	9.2587	8.4121	7.7705	9.1007	10.4822	11.9965
U133A__GALNT6	8.8821	7.3905	8.324	6.7568	9.7521	5.1143	8.8841	5.7714	6.8554	6.1052	8.3463	5.6143	6.7577	6.284	8.1603	7.455	8.2228	6.9834	5.9045	7.5279	5.4304	7.768	8.6096	5.6215	8.65	5.8084	8.4236	9.1485	5.9203	9.1731	6.4012	8.7939	5.665	7.8211	5.8236	10.0613	8.3165	7.0845	9.245	7.746	9.7446
