Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
U133A__GLRX	7.9543	6.2487	5.5297	5.9715	5.401	5.7698	5.7644	5.382	6.2804	7.6191	6.4851	7.4296	6.5379	6.0868	8.8566	4.4996	5.6094	7.2202	7.9821	5.8988	9.5291	5.7724	6.5263	6.9671	6.2362	7.2404	9.8389	7.6701	6.5914	6.1673	5.9565	6.1801
U133A__PTPLA	4.6823	8.4154	5.182	10.3468	6.3568	6.7459	5.8693	5.5657	8.0611	5.5909	4.9583	7.3047	7.8945	6.0142	6.1322	5.8509	6.5989	9.4651	7.4552	6.2385	5.0439	5.0779	4.2583	7.0215	6.8608	6.9817	6.4239	5.1713	5.2383	6.5071	7.8667	4.9885
U133A__FAM174B	7.039	8.6806	7.2556	5.5542	6.0659	5.9859	5.9155	6.0452	5.895	5.4407	7.2938	5.6754	5.7021	6.1376	6.1391	6.7886	7.0665	5.7914	5.7429	7.5637	7.1023	6.5758	6.7257	6.0008	5.608	5.8132	8.5023	7.6422	6.56	6.7379	8.822	6.8445
U133A__F3	5.7878	9.0272	4.8426	4.8733	5.2295	7.2696	6.3878	5.6992	5.0961	9.3964	5.3307	6.0537	5.7376	5.6586	7.8855	4.9005	4.6238	5.4199	10.2136	4.9116	5.5278	4.8716	5.9576	4.987	10.2594	8.114	6.1874	5.6991	5.6275	5.1655	4.9829	4.8419
U133A__CLIC3	8.3548	7.3076	6.491	3.6425	6.6116	6.5625	4.1162	9.4396	3.2494	4.1193	7.8558	3.5136	3.8325	4.8032	3.4001	4.7747	7.6637	3.6152	3.714	6.3844	4.7366	7.8342	6.9665	3.6517	3.9377	4.0323	7.4723	8.2999	4.2879	9.4402	9.412	5.9785
U133A__IRX5	6.5809	5.5081	7.7145	6.7582	9.7052	6.7088	8.4982	9.2355	7.8438	5.0398	6.9459	7.2265	6.0328	7.8287	5.68	6.4979	7.5153	5.4402	5.6562	8.26	7.8134	9.0329	6.3151	7.6172	6.2181	4.7753	8.3988	8.6255	7.2192	7.8621	7.0565	8.7904
U133A__EMP3	3.9888	4.4028	4.2731	9.9908	4.5129	5.9249	4.5177	4.8069	4.4271	6.169	4.8236	4.8179	9.0618	5.7623	10.2742	4.4979	4.6047	9.169	9.3624	4.4717	4.519	4.3967	4.5344	9.6246	8.36	9.3993	5.4208	4.3435	4.3907	4.6524	4.1567	4.2003
U133A__MYL9	4.7978	8.5122	4.3871	9.1832	8.8391	8.4341	4.0346	5.7648	9.6218	6.0583	4.813	9.5538	8.1157	4.8778	9.6227	4.8854	4.7024	8.4701	7.1009	4.6393	6.8697	4.2936	4.5311	8.308	6.9483	4.9714	4.4915	5.1012	4.7852	7.4332	7.2213	4.811
U133A__IGFBP5	8.6852	11.5084	11.7481	6.1922	12.1021	6.8264	6.4959	9.6121	5.288	4.8427	11.1816	7.78	9.9612	5.5974	5.609	5.3545	8.3505	4.852	5.0172	10.895	11.2849	11.5891	8.5214	5.4366	4.9226	4.9351	6.1866	10.0476	8.988	10.8465	11.82	8.0394
U133A__SH3YL1	7.6952	6.9461	9.2864	5.2336	7.0931	9.887	6.1393	6.2999	7.4269	7.9322	9.4126	7.2892	7.2825	9.0259	3.7104	7.45	7.8371	5.2003	4.1523	7.4942	6.9545	8.6375	7.9384	5.1517	8.2469	4.371	9.2451	8.1166	8.7861	7.9012	9.2607	9.9867
U133A__FXYD5	8.8706	10.2383	6.3544	10.5229	6.5905	9.7949	7.3967	6.6968	9.5407	10.4388	7.8566	10.3211	8.4657	10.2902	9.5227	6.2427	6.8433	10.5826	9.5884	6.6844	7.9084	8.14	8.7157	7.1906	10.2745	9.6556	8.4212	8.9687	6.5669	8.3634	9.4597	6.2665
U133A__TRIL	7.691	4.9883	5.7803	4.3206	6.0987	4.8923	6.7164	6.9271	4.5574	4.0993	7.1386	4.4006	4.3815	5.8478	4.3545	4.9991	5.0011	4.4089	4.5657	5.6758	4.9838	5.7791	7.6403	4.4034	4.3459	4.6801	7.0693	7.903	5.9149	7.3008	6.3524	6.3898
U133A__MSN	4.5404	7.0857	3.5172	8.5121	3.3393	9.342	8.9229	4.7864	8.964	8.5521	3.4629	7.7602	8.5216	9.8294	8.6483	3.9182	3.857	8.0642	8.6962	3.3597	4.1423	3.5368	3.4264	8.8511	9.046	8.7758	3.5774	5.7481	3.4357	3.3212	3.8634	3.5565
U133A__PIP	7.3069	6.3157	7.061	6.2596	6.2897	6.4685	6.4454	6.2459	6.3056	5.9752	6.7761	6.4129	6.1173	5.7083	6.2892	6.0998	6.2914	6.1202	5.8344	7.7157	6.8376	7.9615	7.0196	6.1485	6.3994	6.1424	11.8405	8.7615	6.0735	11.2874	8.8185	7.5776
U133A__MSRB2	8.2683	8.2463	7.7759	6.1322	8.4323	8.2741	8.3597	9.5777	8.2937	5.6591	9.1591	7.2659	9.2971	11.0288	5.3433	8.1136	8.7093	8.3228	7.7011	7.6898	8.5022	7.991	8.4725	8.2739	8.814	6.5764	7.8935	9.151	7.5318	7.82	9.6919	9.0197
U133A__TGFBR2	5.333	7.0106	5.0315	6.7765	4.5064	6.3664	4.7365	4.2208	4.6006	6.7692	4.2784	5.3755	7.5116	6.5588	7.6766	4.5196	5.7419	6.6819	7.685	4.9647	5.073	4.4376	5.0651	7.2266	7.6333	8.8984	4.4958	6.1121	4.7649	4.3031	4.2663	4.2258
U133A__MXRA7	4.9898	5.2513	6.1786	8.8708	7.5332	7.994	7.5735	8.5232	8.4778	9.4836	5.2279	10.1797	9.496	8.2414	9.2301	5.9779	6.369	10.6844	9.4217	6.698	5.4442	5.2076	5.147	8.9371	8.2772	8.9797	5.5672	5.5043	5.2859	7.7395	8.9281	5.6894
U133A__PHLDA1	4.4531	7.9418	4.5088	6.2364	3.6929	5.9748	4.3261	4.9452	5.4819	8.5993	5.8991	6.5052	8.8726	6.6058	9.3967	4.738	4.353	7.4466	9.4625	4.3342	4.674	3.9009	3.6627	8.757	7.7525	6.9589	3.8358	7.0777	3.679	6.5088	4.2782	3.659
