Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__WBP5	6.7541	3.6889	6.4769	3.8423	5.822	6.6526	3.4188	8.2125	7.1545	8.993	6.1042	6.1205	7.6216	7.5367	4.0715	3.9169	3.6347	6.549	7.9524	4.1972	6.6648	3.9113	3.5138	3.6334	7.6132	3.816	8.2161	7.0278	3.947	3.6362	3.6496	7.7813	5.9192	5.6305	3.7521	6.6178	5.4815	5.2695	3.583	6.6206	6.4357
U133A__PDLIM2	6.1838	6.4469	6.5686	5.0195	5.6124	8.445	5.1054	6.6544	6.7985	7.5575	4.7108	6.3607	5.2325	5.6691	6.1512	4.6418	6.3079	7.0536	6.8265	6.1954	8.6963	6.1059	5.2037	5.8817	6.625	6.3894	6.7859	4.9201	6.5696	4.5589	7.137	7.7536	6.8021	7.2215	5.3168	5.6906	4.947	5.8226	6.1853	6.1648	6.9082
U133A__NLRP2	6.9582	8.4793	5.0348	7.6657	7.8933	4.764	5.0248	4.7665	4.8855	6.4806	7.8545	5.032	9.1216	4.6322	6.5268	5.4387	8.656	4.7964	7.7795	7.8198	5.2571	4.9573	5.2798	7.4121	7.515	7.621	4.6412	7.7192	4.8763	4.826	6.0291	4.8136	6.4483	4.9886	5.2006	4.588	6.8504	7.7586	8.0687	4.9008	4.7108
U133A__PLK2	5.4424	6.9523	6.867	7.2092	5.1939	8.3725	6.0463	9.2903	7.0513	6.4452	6.2027	5.7464	8.2452	9.2273	6.818	7.1315	8.4373	6.6563	7.0758	8.5326	7.8286	6.7947	7.5027	6.8697	6.9099	8.1218	6.1725	7.2951	8.1968	8.4353	5.3432	5.2835	6.169	5.4839	8.784	8.1345	7.3299	8.5802	6.9561	6.1403	5.3885
U133A__PPFIA1	8.222	7.9599	7.9301	7.1884	7.8838	7.0274	8.5832	5.7449	8.3418	8.344	7.1162	7.0373	7.8089	7.7219	8.2808	5.7476	7.2867	7.3136	7.6061	7.4591	6.8513	7.8672	7.3332	10.3877	7.0079	8.1786	7.4321	8.5446	9.1744	8.4555	7.0867	5.8705	7.8299	6.9337	6.6913	8.1568	7.8003	6.829	7.449	8.544	8.682
U133A__C4orf19	7.472	6.995	6.1152	5.7927	6.3656	5.2571	5.9706	5.8058	5.259	4.7316	6.7285	5.4242	6.6961	7.585	5.7606	7.2136	10.2326	6.1892	5.0874	6.2435	4.9288	5.7074	6.7407	6.5187	5.4766	6.6493	4.9949	7.6176	8.3724	6.8461	6.9588	5.0222	4.9962	5.2601	8.0656	6.9566	7.7508	8.4822	7.0379	5.3883	6.2493
U133A__PI3	5.4605	6.0659	5.7651	5.2747	5.1541	5.6851	5.4395	5.4688	5.4843	5.4682	5.3716	9.0288	9.8906	11.7417	7.4857	5.3839	6.3272	8.0137	5.3872	10.9352	5.6048	5.2401	5.4199	5.3788	6.6699	5.4661	5.3969	5.2653	5.5095	5.6113	5.7414	5.7132	10.5138	5.7526	5.6718	6.9128	5.2888	5.0395	5.2202	5.1343	5.3184
U133A__RAI14	5.8045	6.8528	7.6505	6.5191	4.7329	7.1977	6.3754	8.5524	6.2722	5.5801	7.0817	6.0818	7.393	5.9586	7.2175	5.1903	4.9184	8.4573	6.3942	8.6065	6.5584	5.6957	5.9513	5.9509	8.3284	6.7127	7.995	7.088	4.6179	5.8292	6.033	4.3547	5.7551	7.8314	6.3683	4.7881	6.0277	5.7235	6.4105	4.2361	5.793
U133A__LIMCH1	6.0867	7.0559	7.0651	5.9547	4.5506	3.4312	4.4364	6.1294	6.6193	6.9381	3.4256	6.7857	4.222	6.9595	5.566	6.6578	8.4483	5.7588	5.1467	7.6226	5.4328	4.0459	3.9423	6.553	4.4139	6.8992	6.5312	5.033	5.5271	6.2939	6.1873	3.4676	5.11	6.8599	8.4582	8.2485	7.9542	4.2224	6.6392	7.7023	3.813
U133A__ERBB2	9.3202	12.1579	7.8098	12.0098	9.58	7.0802	8.4009	6.6464	8.7493	7.9295	7.6523	11.8139	7.294	7.8108	11.5446	12.1228	9.3757	8.9136	8.1445	7.98	6.6782	7.0358	8.5128	6.8815	7.0918	9.2857	6.6117	11.035	7.8448	10.215	11.611	6.9193	6.6093	7.3643	8.4025	13.0449	7.652	8.3078	12.1946	9.1095	8.3688
