Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__RAB31	6.2413	8.0673	5.1431	7.7963	8.3412	5.7159	8.009	8.1732	6.3882	5.2803	6.3372	7.6547	6.0256	7.7825	6.0134	5.7421	7.6507	9.5565	6.5396	8.4846	8.1669	5.4419	9.649	4.7638	8.3981	8.3539	8.6618	8.0149	8.4926	8.156	9.8536	8.2197	8.2362	5.2265	5.4669	6.4993	7.2702	5.4727	5.523	8.7646
U133A__TRPS1	8.6584	7.3827	7.0458	9.6951	6.9494	8.2062	3.4593	8.634	5.392	8.5305	7.8165	3.8643	6.1183	4.2236	6.5161	8.4291	7.4467	7.9026	6.7044	5.5976	7.1694	8.6372	5.0367	7.8186	3.923	6.8585	7.5954	6.8846	6.1981	8.38	7.5346	3.3148	4.1508	10.0281	9.272	9.1202	8.4461	8.5384	8.553	8.6575
U133A__SLC24A3	5.6004	5.5097	7.0284	8.6046	4.2919	7.6789	4.5472	5.7657	8.3801	7.8815	6.0192	4.488	4.5344	4.5142	6.0343	7.7085	4.6155	4.9532	6.8012	6.2703	6.0407	7.2196	4.3953	5.5787	4.6406	6.2134	5.5668	4.1616	5.2417	5.3517	4.4037	4.821	4.696	7.0271	6.5218	6.8955	5.7622	5.5253	8.3469	5.9244
U133A__CTSC	6.462	7.8213	5.6429	6.511	8.7733	6.0613	6.6398	7.1267	6.1393	6.1285	7.7895	8.61	7.1706	9.9228	7.5757	7.5029	7.5712	9.5726	9.4375	8.1937	6.3418	5.3429	7.5387	6.0198	8.1208	6.9996	7.2767	9.555	8.1037	7.4898	5.6283	9.7333	8.6939	5.451	5.3268	6.5055	5.8231	6.0762	4.8574	6.4382
U133A__TFF3	12.242	7.4282	11.8098	12.1898	5.9539	7.9505	6.1278	5.6693	5.4995	9.7873	5.9862	5.5639	5.8248	5.9636	6.9685	5.7579	5.9571	5.5964	5.385	6.1336	8.6074	8.054	6.0694	12.8617	5.781	12.1275	8.7981	5.6714	5.5641	7.2255	6.0829	5.986	5.7096	12.552	6.9097	7.2481	12.881	8.677	10.9125	9.4077
U133A__EIF5A	6.1532	10.2322	6.6804	8.676	10.141	10.3505	9.8574	7.0561	6.2771	10.4307	10.9743	9.7164	7.3039	9.2206	10.7045	10.6954	11.0518	6.7936	10.9733	11.4584	7.0806	7.2351	10.9628	6.3987	9.8155	8.213	8.5732	10.7809	10.5292	9.4725	10.7482	11.3354	10.6383	7.469	10.9772	6.6051	6.774	8.3558	6.3053	9.9089
U133A__PSMB8	5.9129	8.1465	4.8895	7.4786	5.1509	5.1652	8.4902	6.704	9.2071	5.7421	6.8288	8.2608	8.6923	8.168	8.0046	5.4133	4.9573	8.1246	9.5104	6.8425	4.9295	6.5153	9.0369	5.5676	7.2687	6.817	7.9776	6.9481	9.8933	6.1107	7.182	8.2313	8.3033	6.4629	6.4871	6.663	6.7358	5.3678	6.1207	4.6754
U133A__ISOC1	5.1663	6.6553	7.541	8.1396	5.287	9.2407	4.9017	5.7943	7.3405	8.0976	6.9094	6.4093	6.761	6.1868	5.981	6.9766	6.6684	5.8931	5.609	5.2129	8.045	8.8911	5.4164	6.7959	6.9834	7.4249	7.287	5.4975	6.0864	6.9193	5.8083	6.542	6.1968	6.8505	5.616	6.3399	6.6446	7.5794	5.5126	7.608
U133A__TOM1L1	7.9076	5.7186	9.4773	7.1879	5.1145	6.9637	5.2507	6.7397	4.7466	7.9732	5.146	5.9551	5.8162	5.9377	4.7196	6.3062	6.4622	6.6798	6.1347	4.2894	7.4272	7.1205	5.3791	7.2296	5.9639	8.1008	6.8372	6.9063	6.292	5.5921	6.9032	5.8708	6.031	6.4239	6.756	7.2706	7.6229	8.6175	6.4265	7.7091
U133A__RDX	6.2849	7.0989	5.5424	5.2777	9.8431	4.669	7.4389	6.885	8.2381	4.714	7.2261	8.2444	7.3477	6.6441	3.4463	7.49	6.8925	7.3649	7.5288	7.2916	8.7689	3.9994	7.5706	6.3754	7.8273	6.2957	6.3962	7.169	7.8498	7.7306	7.8101	6.6603	7.7876	6.3776	7.0507	7.4451	8.1581	6.8784	6.3951	7.3748
U133A__AKR1B1	5.4264	6.9517	5.9901	5.6065	8.7781	5.6946	10.595	5.6857	6.894	7.4072	8.1445	9.6667	9.0128	6.1103	6.0593	5.5161	9.8841	10.5542	10.1821	10.9824	5.9629	5.5375	10.7395	7.1787	9.6852	6.313	7.2479	11.7579	10.7006	5.7104	9.5693	11.8108	11.2588	5.2415	5.3117	5.4185	5.0463	5.5959	5.9962	6.4257
U133A__GADD45A	5.3909	6.2445	7.5063	5.2446	7.3392	5.1443	8.6309	7.1551	6.8213	5.8339	6.7283	7.7482	8.4893	7.405	6.8995	5.0377	8.008	6.8747	8.2273	9.7214	5.8846	7.9334	7.5512	5.2269	6.8579	6.8197	6.6866	8.9886	9.8078	5.6789	8.471	7.4893	9.3585	5.2882	7.1867	5.4167	6.9506	6.5311	6.1497	5.8262
U133A__TPM2	2.9737	3.2967	2.7023	3.0083	9.2246	3.0307	8.8236	6.6508	2.7736	3.2918	9.0163	7.0455	3.3028	3.2698	3.2636	3.8763	6.7663	7.9299	8.1468	9.5375	3.2518	3.2009	4.4389	3.1689	3.4678	2.8649	3.6268	5.1117	6.4564	3.4752	8.5825	7.37	8.2812	2.8239	5.6483	3.0476	3.3862	3.4566	3.5368	2.9659
U133A__ZNF217	7.419	7.5835	7.8014	8.8077	6.3906	7.2507	4.8339	6.639	6.8205	7.0884	6.5128	5.7742	6.7022	5.9938	6.3508	6.8491	6.55	6.4752	7.1567	5.4451	8.0458	7.2063	6.4752	8.3299	5.7126	7.3471	6.1379	5.8998	7.0682	7.1079	5.8327	5.9423	5.1742	6.4352	5.7603	6.5379	9.0439	7.9256	6.4036	7.0191
U133A__DIP2C	6.0306	5.6	6.1426	7.3021	5.8184	7.2703	5.3375	5.9785	7.7083	7.6453	5.5877	6.3643	5.5528	4.2909	6.1653	5.8443	5.318	7.5229	3.946	5.2792	6.5002	7.245	7.9021	6.0921	5.9908	7.1526	6.9179	5.8195	5.3291	5.3484	6.081	4.2421	5.8763	8.1831	5.1349	5.6502	6.3524	6.2191	5.9423	6.4159
