Cell lines	600MPE	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC38	HCC70	LY2	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	UACC812	ZR751	ZR75B
U133A__SQLE	4.6168	4.3591	6.8869	5.4736	6.0938	5.7546	5.7628	7.445	7.1082	5.9528	5.9324	6.0501	8.6598	4.967	7.0212	5.7956	6.6369	5.7665	6.1527	4.5071	4.947	6.3689	5.9702	6.331	6.4119	6.1972	5.8236	5.8157	9.494	6.6624	7.4374	4.6577	6.0556
U133A__ACSL1	5.8954	6.9153	8.658	6.2343	5.1716	7.2737	7.9344	6.185	8.0636	6.2	8.2443	6.2225	6.7455	7.044	8.7631	4.917	6.4659	5.6861	7.0502	5.928	7.5073	7.6861	8.5253	6.84	4.6924	7.4148	6.8998	6.3058	9.291	8.5472	8.1543	5.7848	5.8106
U133A__OBSL1	6.4514	8.0289	7.8813	8.0845	7.8676	6.4196	6.992	7.9661	7.1877	6.5112	6.835	7.0874	9.4103	7.4016	7.6103	8.8911	6.4547	7.3043	7.8238	6.2485	8.0171	7.5013	8.824	7.9762	6.5707	7.5554	5.2249	7.6849	9.4082	7.1551	8.0534	6.569	5.8275
U133A__GUCY1A3	5.4652	5.838	7.1808	5.9138	5.8476	5.8015	7.6401	5.8467	6.0758	6.0679	6.2103	6.7409	5.4549	5.9645	9.6817	5.8029	5.9583	7.0617	8.6966	5.7511	7.6344	5.8884	7.9841	5.6766	5.9908	6.2184	5.8468	7.1128	6.5455	5.6473	5.8095	6.3131	6.0079
U133A__GCHFR	7.0875	7.3299	7.4086	6.3534	5.9174	7.0334	6.0695	6.5892	6.057	5.9386	5.6697	6.4225	7.2153	5.5521	9.3148	6.6593	6.846	5.6439	8.0588	4.8651	7.7018	7.5975	8.9348	8.3753	6.5251	6.4883	5.3529	6.5813	7.5842	5.7935	6.8993	8.7278	7.0875
U133A__ABCC3	6.7998	6.7733	8.3655	6.3588	6.1449	5.6793	6.2483	6.1385	7.0839	6.7611	6.6307	6.1827	7.0465	8.2582	6.1346	7.3609	6.7686	6.7769	9.4899	5.8987	8.1698	8.4291	6.7496	6.5224	6.1021	6.8492	6.7801	6.0395	8.2946	7.6244	7.6603	6.0687	5.6685
U133A__DTX4	8.5534	7.5579	7.4076	6.3974	6.0917	6.706	6.3983	6.4963	8.0591	7.1172	8.3881	7.9724	9.3534	5.8196	7.6493	6.0955	6.6433	6.6331	8.2983	5.8898	7.0834	7.3844	6.6527	7.4584	6.2423	7.1386	5.167	7.0847	7.7214	7.9261	9.3252	6.781	6.6645
U133A__BUB3	6.6002	5.8925	6.0351	7.3624	6.5937	7.3754	7.8016	7.7009	7.2229	7.9427	8.537	6.9331	6.8889	5.998	7.222	7.425	8.0473	7.0969	6.6585	7.9701	7.2205	8.2642	7.2657	6.3573	7.891	6.8639	7.7743	7.7615	7.1787	10.1185	7.5848	8.3318	7.4434
U133A__TSKU	11.0637	8.5092	9.0798	8.5228	7.578	7.5767	7.5938	8.2058	8.1601	8.241	8.0502	8.5889	7.7436	8.165	6.5287	8.035	8.9638	7.4804	8.8192	7.5084	9.0219	8.4862	8.7443	7.8671	7.6819	8.0746	7.4697	8.6837	8.4816	8.7885	8.559	7.7132	7.2394
U133A__ASPH	5.3746	8.484	6.5254	8.1324	6.8716	5.3035	6.5755	6.0212	7.3679	7.8645	7.2219	8.1345	5.177	8.8405	7.2005	6.6102	6.6341	7.0177	8.5437	7.5871	7.8154	6.9904	8.6886	6.7725	7.7094	6.3051	7.5512	6.0606	8.0946	8.6961	8.2391	5.9685	5.6668
