Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__CLDN4	7.8095	7.8886	6.8892	7.4307	8.0102	4.3947	6.203	4.3468	7.5458	8.2974	7.4553	7.4055	6.5293	7.7536	7.9433	8.4582	7.7545	7.8168	6.8585	7.604	4.6864	7.6706	6.9713	6.7166	4.3184	9.4105	4.2514	7.1352	7.4668	6.7302	8.1243	4.5668	6.7523	3.8645	9.26	8.5318	6.2457	8.066	7.5057	6.617
U133A__VIM	5.8226	4.9592	5.965	7.7481	5.6063	11.6511	5.8908	11.3859	11.3821	8.7797	5.3502	10.7222	4.9413	5.8206	9.4913	6.0127	5.6946	10.5693	11.5151	8.134	12.5403	5.7703	5.8608	8.4895	12.7467	6.4138	11.4408	5.516	5.4939	5.091	5.6462	12.9893	9.5774	12.4633	5.4996	5.2009	5.4907	5.7024	5.528	5.1392
U133A__PTPRU	8.8461	7.7909	5.3599	5.5647	6.1875	5.6295	5.9431	5.8584	6.2068	5.2724	5.8775	7.1523	5.8751	6.4143	6.3077	6.3478	7.2033	6.1426	5.3025	5.9901	5.6516	5.9064	6.0962	5.8296	6.0597	6.9492	5.1764	6.0926	6.86	5.6323	5.9691	5.9083	6.7002	5.6666	7.1784	7.0607	7.8153	6.1712	6.3257	6.6313
U133A__LRIG1	8.4873	6.2785	5.1965	6.714	7.3323	3.8294	5.7543	4.9765	4.6329	5.669	7.1662	4.7873	4.9515	5.9472	4.8144	5.456	5.5033	5.2939	4.0003	5.209	4.8805	5.4309	5.1228	6.6869	4.104	7.4281	4.2748	8.0802	5.1363	8.3706	5.1384	5.4354	5.9374	4.1727	5.8208	8.3873	5.0683	6.8777	6.956	6.6563
U133A__TBC1D9	6.3771	7.496	5.581	6.0691	9.2575	4.8144	7.0148	5.4363	4.3359	5.6622	8.2883	5.4965	3.5309	5.9846	5.0743	5.0615	7.5382	5.0659	6.6908	7.3101	6.1223	6.8606	8.7386	8.2356	5.9894	7.447	6.3818	8.4877	7.2127	5.1711	6.5539	5.0828	4.6908	6.4141	8.6955	7.7167	6.6034	5.0197	6.7933	7.8456
U133A__KIAA0182	8.7175	8.7547	8.2326	9.4399	8.9626	5.5927	8.9031	6.2784	7.0695	8.2032	9.5198	6.5335	7.1268	7.6521	7.6461	9.0573	8.5395	7.194	7.6429	7.7941	6.6802	9.3437	9.2681	7.1592	5.5687	8.3507	6.8539	9.4821	8.1927	8.8215	8.4014	6.3604	6.768	6.9346	9.4211	8.9541	8.2608	10.1651	9.5845	8.7069
U133A__CRIP1	8.4245	4.9101	4.4423	9.7016	12.0514	5.0897	4.9873	4.8363	5.2707	8.3369	5.2036	8.8011	6.9537	4.8419	4.9281	6.1535	4.8404	5.1706	5.7282	7.8829	4.6486	5.4919	5.8025	10.1788	4.3166	9.4513	4.6497	9.8876	9.8166	8.6704	5.2638	5.2501	8.6033	4.6048	5.5028	5.7352	5.1629	10.2423	10.2373	11.2244
U133A__AGR2	10.3169	10.6821	4.8118	11.0027	11.4133	4.8801	9.5473	6.1277	4.7238	4.9574	5.6983	5.7322	9.8422	7.8487	8.9628	11.0145	11.018	5.5521	4.8807	6.5245	4.9432	9.0223	9.5307	5.3115	4.1066	11.5908	5.8781	10.7955	11.9865	9.8595	9.5144	5.8546	5.7616	4.7808	12.2035	10.6989	11.3355	11.4831	9.3155	10.4286
U133A__ID1	7.5488	8.458	7.3176	9.202	5.6677	8.8821	8.9097	8.6448	9.9643	9.5179	4.83	7.5484	9.8832	11.5212	8.5198	11.0086	11.6982	9.9092	12.1237	9.877	8.8602	8.3347	9.1138	9.3942	9.3329	8.6759	9.2361	9.5439	9.8859	9.7659	7.7427	9.1492	8.3101	10.132	8.381	9.4306	10.2033	9.0256	9.1427	8.2074
U133A__BASP1	5.4356	5.7977	4.4396	10.6202	9.2038	11.5185	8.8654	11.163	6.594	9.1826	5.6244	6.3603	5.5235	8.6432	5.4185	9.4493	9.2461	7.096	10.984	5.1029	10.982	9.543	11.1484	8.6087	11.8373	5.8638	9.7536	8.7157	5.3006	6.2352	9.4114	10.254	7.787	10.2463	6.6101	4.8086	5.856	5.2301	5.5732	5.2642
