Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__CYB5A	6.6338	7.709	5.1047	6.3098	6.617	5.7624	7.9642	6.9887	4.4315	6.1598	6.0589	5.0605	5.3328	6.0628	7.199	8.2505	5.2687	4.701	6.1142	3.8628	6.5067	6.1092	7.8149	4.6541	7.0276	6.1533	6.26	7.9185	7.5663	6.7328	4.648	7.3606	7.1314	6.3256	7.0204	5.551	6.3159	8.6476	7.8435	8.1908
U133A__IFIT1	4.7114	4.2157	5.0235	4.5077	9.7076	4.7238	4.3455	4.7744	6.9119	6.1597	6.2547	7.0582	8.6976	6.346	8.2698	4.894	4.5623	5.5582	8.9034	4.7911	4.6602	4.9544	5.3881	7.9414	4.9999	8.3202	5.5062	4.8948	4.8674	4.4414	6.1359	4.2817	4.4171	4.5392	9.1874	4.7807	4.4767	4.3094	4.7475	4.2272
U133A__ALDH2	9.3805	9.7677	5.4141	10.227	9.9024	6.8361	9.4075	5.5016	8.2046	6.0363	8.5911	8.8455	5.5621	4.9952	9.9548	5.4287	5.4604	8.6838	7.2193	5.5024	6.2979	6.6812	6.8677	7.5525	6.3535	7.9242	10.2982	8.6058	5.4285	10.0471	7.2277	7.8676	5.8958	5.3037	10.5581	5.8761	7.3889	6.6914	9.1299	7.0443
U133A__IFI35	5.4977	6.6211	6.8837	5.9007	8.0682	6.7676	7.0366	6.3878	6.7278	6.8486	7.4278	6.9672	8.0101	6.8443	7.6942	5.418	6.0747	7.3015	7.4774	7.0745	5.9294	6.2196	6.5578	8.5606	5.4165	7.0996	6.7662	6.195	5.2079	5.7756	8.126	6.2137	6.6562	5.3685	7.1166	5.7674	7.0133	6.0084	5.5399	5.1334
U133A__BMP7	5.505	7.1792	6.1026	10.2899	5.9915	5.5804	5.844	5.7479	5.7537	6.1111	6.2167	5.7013	7.6113	5.7656	5.9684	8.3614	7.0256	6.2535	5.3106	5.8496	8.2441	8.6872	5.7141	6.8215	5.6201	5.4503	5.7334	5.8301	5.615	8.7775	6.0241	5.685	5.5064	5.6985	7.0329	5.9278	5.9429	6.7478	5.5512	5.6131
U133A__HOXB2	6.0505	5.9357	6.2883	6.0159	6.7451	6.7829	6.0399	6.2953	5.893	6.4622	6.1373	6.8592	6.0035	7.0432	8.8635	6.559	6.0844	6.9561	6.9785	6.4968	6.0448	6.3047	6.222	6.1531	8.0353	5.9345	6.3016	7.5786	7.0712	5.9492	6.2154	5.8979	5.7417	6.023	6.5936	8.0069	7.8088	7.6081	6.018	5.7583
U133A__WBP5	6.7541	3.6889	6.4769	3.8423	5.822	6.6526	3.4188	7.1545	8.993	6.1042	6.1205	7.6216	7.5367	4.0715	3.9169	3.6347	6.549	7.9524	4.1972	6.6648	3.9113	3.5138	3.6334	7.6132	3.816	8.2161	7.0278	3.947	3.6362	3.6496	7.7813	5.9192	5.6305	3.7521	6.6178	5.4815	5.2695	3.583	6.6206	6.4357
U133A__CTSL2	6.6891	6.6544	7.9888	6.1776	5.8575	7.9594	6.6191	10.2184	5.7305	6.0333	7.4727	7.4576	7.8409	7.0974	6.5739	6.0122	8.0945	7.7367	8.1816	5.7412	7.1939	6.6615	6.6808	8.3407	7.0612	5.8619	6.3803	7.5018	5.5789	6.5624	6.5317	6.8619	5.7468	7.4294	6.7808	5.8074	7.2087	6.9109	6.678	7.0021
U133A__BASP1	5.4356	5.7977	4.4396	10.6202	9.2038	11.5185	8.8654	6.594	9.1826	5.6244	6.3603	5.5235	8.6432	5.4185	9.4493	9.2461	7.096	10.984	5.1029	10.982	9.543	11.1484	8.6087	11.8373	5.8638	9.7536	8.7157	5.3006	6.2352	9.4114	10.254	7.787	10.2463	6.6101	4.8086	5.856	5.2301	8.934	5.5732	5.2642
U133A__MRPS28	6.3148	9.9042	6.7289	7.5316	7.7621	7.9969	7.3016	6.5708	6.7955	7.8601	7.7391	7.601	7.6137	8.4394	7.1288	7.0749	7.9765	7.4404	7.147	8.4855	7.6176	7.205	7.5394	8.3022	7.1794	7.9059	7.6379	6.1268	7.3831	9.5315	7.0449	7.5931	7.2521	7.0073	8.2577	7.2485	7.3465	7.3301	7.2016	7.5669
